,i,text,lemma,event_id,event_label,correct_event_nonevent_prediction,Tag,Annotation_ID,Multi_Token_Annotation,main_tags_in_events,main_tags_in_non_events,reference_to_diegesis
0,0,Es,es,0,stative_event, ,O,none,0,,,
1,1,ist,sein,0,stative_event, ,O,none,0,,,
2,2,später,spät,0,stative_event, ,O,none,0,,,
3,3,Abend,Abend,0,stative_event, ,O,none,0,,,
4,4,in,in,0,stative_event, ,B-Positionierung,73161714-8F0E-4503-A9B5-BCBFBE0FF3B1,1,,,
5,5,unserm,unser,0,stative_event, ,O,none,0,,,
6,6,Stadtwald,Stadtwald,0,stative_event, ,B-Ort-Container,F79B1E9B-854B-4967-B864-1D4FE7394AC8,1,,,
7,7,",",",",_,_, ,O,none,0,,,
8,8,leise,leise,0,stative_event, ,O,none,0,,,
9,9,wispert,wispern,0,stative_event, ,B-Bewegung-Schall,4549EC71-F76B-4FD0-B86A-C6DD12934940,1,,,
10,10,das,der,0,stative_event, ,O,none,0,,,
11,11,Laub,Laub,0,stative_event, ,O,none,0,,,
12,12,in,in,0,stative_event, ,B-Positionierung,FE26E672-5348-4156-B697-2168918A602C,1,,,
13,13,der,der,0,stative_event, ,O,none,0,,,
14,14,lauen,lau,0,stative_event, ,O,none,0,,,
15,15,Sommerluft,Sommerluft,0,stative_event, ,B-Ort-Container,3A467D33-A58D-4032-8499-F2C92184F80C,1,,,
16,16,und,und,1,process, ,O,none,0,,,
17,17,aus,aus,1,process, ,B-Richtung,4C517A66-267D-47B4-B8EE-9C4595AA5938,1,,,
18,18,der,der,1,process, ,O,none,0,,,
19,19,Ferne,Ferne,1,process, ,B-Ort-Container-BK,15473E82-12C0-4539-AB86-648B01BA3E54,1,,,
20,20,tönt,tönen,1,process, ,B-Bewegung-Schall,EEDEB29E-9B33-4255-82D5-6F705B7C5024,1,,,
21,21,das,der,1,process, ,O,none,0,,,
22,22,Geschwirr,Geschwirr,1,process, ,O,none,0,,,
23,23,der,der,1,process, ,O,none,0,,,
24,24,Feldgrillen,Feldgrille,1,process, ,O,none,0,,,
25,25,bis,bis,1,process, ,B-Richtung,0EBEBD00-87F1-4090-8BED-35799DFA643E,1,,,
26,26,unter,unter,1,process, ,B-Richtung,7E5F8C34-D08A-4364-A29D-D9F790D4FCA3,1,,,
27,27,die,der,1,process, ,O,none,0,,,
28,28,Bäume,Baum,1,process, ,O,none,0,,,
29,29,.,.,_,_, ,O,none,0,,,
30,30,Durch,durch,2,stative_event, ,B-Richtung,0C558CED-B176-4881-A889-E68F59DC5526,1,,,
31,31,die,der,2,stative_event, ,O,none,0,,,
32,32,Gipfel,Gipfel,2,stative_event, ,B-Ort-Abstrakt,AA664249-1657-4F0F-B6AC-6A39259EB0C2,1,,,
33,33,fällt,fallen,2,stative_event, ,B-Bewegung-Licht,C7E5E708-CE18-4365-9CFB-CF800516A122,1,,,
34,34,bleiches,bleich,2,stative_event, ,O,none,0,,,
35,35,Licht,Licht,2,stative_event, ,O,none,0,,,
36,36,auf,auf,2,stative_event, ,B-Richtung,BCCE315C-F94B-4E87-9FA1-76E47250B83E,1,,,
37,37,den,der,2,stative_event, ,O,none,0,,,
38,38,Waldweg,Waldweg,2,stative_event, ,B-Ort-Container-BK,1B47E5A5-F926-435E-9189-02DA6DB0681A,1,,,
39,39,und,und,2,stative_event, ,O,none,0,,,
40,40,das,der,2,stative_event, ,O,none,0,,,
41,41,undeutliche,undeutlich,2,stative_event, ,O,none,0,,,
42,42,Geäst,Geäst,2,stative_event, ,O,none,0,,,
43,43,des,der,2,stative_event, ,O,none,0,,,
44,44,Unterholzes,Unterholz,2,stative_event, ,B-Ort-Container-BK,304EF753-8B8B-4FC8-AE20-9D41C82E8AB3,1,,,
45,45,.,.,2,stative_event, ,O,none,0,,,
46,46,Der,der,3,process, ,O,none,0,,,
47,47,Mond,Mond,3,process, ,B-Ort-Objekt-BK,9AAD305D-5F76-48F4-BCC8-203996813A0C,1,,,
48,48,besprengt,besprengen,3,process, ,B-Bewegung-Licht,2BDAD418-03C3-40D8-8D41-13DA8168830F,1,,,
49,49,den,der,3,process, ,O,none,0,,,
50,50,Pfad,Pfad,3,process, ,B-Ort-Container-BK,329D96ED-7B7E-4732-94A6-DBE9DB0663FB,1,,,
51,51,mit,mit,3,process, ,O,none,0,,,
52,52,schimmernden,schimmernd,3,process, ,B-Bewegung-Licht,62B7DD2F-94F3-44FE-A86D-D57038782562,1,,,
53,53,Flecken,Fleck,3,process, ,O,none,0,,,
54,54,",",",",_,_, ,O,none,0,,,
55,55,er,er,3,process, ,O,none,0,,,
56,56,zündet,zünden,3,process, ,B-Bewegung-Licht,3D5405BD-F8ED-4C0D-BDFB-5451C160BB40,2,,,
57,57,im,in,3,process, ,B-Positionierung,CD934A1E-BA77-45E8-AF6A-393A0D0C56A0,1,,,
58,58,Gewirr,Gewirr,3,process, ,O,none,0,,,
59,59,der,der,3,process, ,O,none,0,,,
60,60,Blätter,Blatt,3,process, ,O,none,0,,,
61,61,und,und,3,process, ,O,none,0,,,
62,62,Zweige,Zweig,3,process, ,O,none,0,,,
63,63,verlorene,verloren,3,process, ,B-Bewegung-ALT,0F02D094-2BD0-454D-A763-2E3BD5DD09DA,1,,,
64,64,Lichter,Licht,3,process, ,O,none,0,,,
65,65,auf,auf,3,process, ,B-Bewegung-Licht,3D5405BD-F8ED-4C0D-BDFB-5451C160BB40,2,,,
66,66,",",",",_,_, ,O,none,0,,,
67,67,hier,hier,3,process, ,B-Positionierung,BD5BB457-0616-4D42-9213-C3295FF7C008,1,,,
68,68,läuft,laufen,3,process, ,B-Bewegung-Licht,6FDDA837-34C1-42BB-B3EE-C5B3CE361901,2,,,
69,69,es,es,3,process, ,O,none,0,,,
70,70,vom,von,3,process, ,B-Richtung,9433C0EB-F157-4EF2-8ADE-76B965157F19,1,,,
71,71,Baumstamme,Baumstamm,3,process, ,O,none,0,,,
72,72,bläulich,bläulich,3,process, ,O,none,0,,,
73,73,herab,herab,3,process, ,B-Bewegung-Licht,6FDDA837-34C1-42BB-B3EE-C5B3CE361901,2,,,
74,74,wie,wie,3,process, ,O,none,0,,,
75,75,brennender,brennend,3,process, ,B-Bewegung-Licht,59F804EB-E598-40C6-B4C2-0E48EEF805E2,1,,,
76,76,Spiritus,Spiritus,3,process, ,O,none,0,,,
77,77,",",",",_,_, ,O,none,0,,,
78,78,dort,dort,3,process, ,B-Positionierung,0B8BB8FE-35BF-44FE-A32B-73EBD4088BFD,1,,,
79,79,im,in,3,process, ,B-Positionierung,96270757-5030-423D-90A9-6DDEB3D9EAF7,1,,,
80,80,Grunde,Grund,3,process, ,B-Ort-Container,C73EEBAF-6347-413C-B6A2-CFB66A7C4529,1,,,
81,81,leuchten,leuchten,3,process, ,B-Bewegung-Licht,9A4C2ADD-4605-437D-8AA1-85A9D08EA3A0,1,,,
82,82,aus,aus,3,process, ,B-Richtung,21FE9B9E-E281-486C-BFF8-88987FE7B7A1,1,,,
83,83,tiefer,tief,3,process, ,B-Dimensionierung-ALT,99E8759F-D9B6-46EC-B076-B0C145FE641A,1,,,
84,84,Dunkelheit,Dunkelheit,3,process, ,O,none,0,,,
85,85,die,der,3,process, ,O,none,0,,,
86,86,Wedel,Wedel,3,process, ,O,none,0,,,
87,87,eines,ein,3,process, ,O,none,0,,,
88,88,Farnkrautes,Farnkraut,3,process, ,O,none,0,,,
89,89,in,in,3,process, ,O,none,0,,,
90,90,grünlichem,grünlich,3,process, ,O,none,0,,,
91,91,Golde,Gold,3,process, ,O,none,0,,,
92,92,",",",",_,_, ,O,none,0,,,
93,93,und,und,4,stative_event, ,O,none,0,,,
94,94,über,über,4,stative_event, ,B-Positionierung,CAEADCDF-5EBE-4D0B-96E7-CC97CEA36253,1,,,
95,95,dem,der,4,stative_event, ,O,none,0,,,
96,96,Wege,Weg,4,stative_event, ,B-Ort-Container,E19EC6C0-D459-4C27-A045-45657677FCCB,1,,,
97,97,ragt,ragen,4,stative_event, ,O,none,0,,,
98,98,der,der,4,stative_event, ,O,none,0,,,
99,99,dürre,dürr,4,stative_event, ,B-Dimensionierung-Groesse,41C9CB51-8882-4C18-9FD0-106093F7FCB7,1,,,
100,100,Ast,Ast,4,stative_event, ,O,none,0,,,
101,101,als,als,4,stative_event, ,O,none,0,,,
102,102,ungeheures,ungeheuer,4,stative_event, ,O,none,0,,,
103,103,weißes,weiß,4,stative_event, ,O,none,0,,,
104,104,Geweih,Geweih,4,stative_event, ,O,none,0,,,
105,105,.,.,_,_, ,O,none,0,,,
106,106,Dazwischen,dazwischen,_,_, ,B-Positionierung,EC4DB224-89CF-4F65-9D20-FD598E94D33D,1,,,
107,107,aber,aber,_,_, ,O,none,0,,,
108,108,und,und,_,_, ,O,none,0,,,
109,109,darunter,darunter,_,_, ,B-Positionierung,5A0B91FB-8E13-432C-82E7-048ED673F3B5,1,,,
110,110,schwarze,schwarz,_,_, ,O,none,0,,,
111,111,",",",",_,_, ,O,none,0,,,
112,112,greifbare,greifbar,_,_, ,O,none,0,,,
113,113,Finsterniß,Finsterniß,_,_, ,O,none,0,,,
114,114,.,.,_,_, ,O,none,0,,,
115,115,Runder,Runder,5,stative_event, ,O,none,0,,,
116,116,Mond,Mond,5,stative_event, ,B-Ort-Objekt,F3FCCE88-03B4-49FD-83B9-764037DB65DC,1,,,
117,117,am,an,5,stative_event, ,B-Positionierung,8B8AFD85-5D15-40B8-B3F4-7145FEB0ADAF,1,,,
118,118,Himmel,Himmel,5,stative_event, ,B-Ort-Objekt,47B03ABC-BBAB-438A-9754-7D159AE4D18D,1,,,
119,119,",",",",_,_, ,O,none,0,,,
120,120,deine,dein,5,stative_event, ,O,none,0,,,
121,121,Versuche,Versuch,5,stative_event, ,O,none,0,,,
122,122,den,der,5,stative_event, ,O,none,0,,,
123,123,Wald,Wald,5,stative_event, ,B-Ort-Container-BK,AD7E6E46-A6F7-461C-A887-35A3E8220ECD,1,,,
124,124,zu,zu,5,stative_event, ,O,none,0,,,
125,125,erleuchten,erleuchten,5,stative_event, ,B-Bewegung-Licht,ECBA8828-F30E-4D3B-9AAB-AE59810390BD,1,,,
126,126,sind,sein,5,stative_event, ,O,none,0,,,
127,127,unordentlich,unordentlich,_,_, ,O,none,0,,,
128,128,",",",",_,_, ,O,none,0,,,
129,129,bleichsüchtig,bleichsüchtig,_,_, ,O,none,0,,,
130,130,und,und,_,_, ,O,none,0,,,
131,131,launenhaft,launenhaft,_,_, ,O,none,0,,,
132,132,.,.,_,_, ,O,none,0,,,
133,133,Bitte,bitte,_,_, ,O,none,0,,,
134,134,",",",",_,_, ,O,none,0,,,
135,135,beschränke,beschränken,6,non_event, ,O,none,0,,,
136,136,deine,dein,6,non_event, ,O,none,0,,,
137,137,Lichter,Licht,6,non_event, ,O,none,0,,,
