Token_ID	Text_Pointer	Token	Tag	Annotation_ID	Multi_Token_Annotation
0	0	Die	O	none	0
1	4	Tage	O	none	0
2	9	vergingen	O	none	0
3	19	einförmig	O	none	0
4	28	.	O	none	0
5	30	Lotti	O	none	0
6	36	führte	B-Bewegung-ALT	D5A1FCCC-9401-4E71-BA54-370952092A4E	2
7	43	ihr	O	none	0
8	47	stilles	O	none	0
9	55	Leben	O	none	0
10	61	fort	B-Bewegung-ALT	D5A1FCCC-9401-4E71-BA54-370952092A4E	2
11	65	.	O	none	0
12	67	Die	O	none	0
13	71	einzige	O	none	0
14	78	\n               	O	none	0
15	94	Veränderung	O	none	0
16	106	darin	O	none	0
17	112	brachten	B-Bewegung-ALT	C43E6F35-1FF3-4B73-BF57-99BB2884B24E	2
18	121	die	O	none	0
19	125	Besuche	O	none	0
20	133	des	O	none	0
21	137	Advokaten	O	none	0
22	147	Schweitzer	O	none	0
23	158	hervor	B-Bewegung-ALT	C43E6F35-1FF3-4B73-BF57-99BB2884B24E	2
24	164	.	O	none	0
25	166	Er	O	none	0
26	169	kam	B-Bewegung-Subjekt	70B48352-261E-4956-95EF-970DEF82A09D	1
27	173	sehr	O	none	0
28	177	\n               	O	none	0
29	193	oft	O	none	0
30	196	,	O	none	0
31	198	zu	O	none	0
32	201	Gottfrieds	O	none	0
33	212	großer	B-Dimensionierung-ALT	B8A1603A-58CA-4E92-9D16-92499CA6460A	1
34	219	Befriedigung	O	none	0
35	231	.	O	none	0
36	233	Dieser	O	none	0
37	240	hatte	O	none	0
38	246	für	O	none	0
39	250	ihn	O	none	0
40	254	eine	O	none	0
41	259	Liebe	O	none	0
42	265	gefaßt	B-Bewegung-ALT	273B911E-11CF-41B8-814D-2554649D1735	1
43	271	,	O	none	0
44	273	kaum	O	none	0
45	277	\n               	O	none	0
46	293	minder	O	none	0
47	300	plötzlich	O	none	0
48	310	wie	O	none	0
49	314	die	O	none	0
50	318	Romeos	O	none	0
51	325	zu	O	none	0
52	328	Julien	O	none	0
53	334	,	O	none	0
54	336	und	O	none	0
55	340	äußerte	B-Bewegung-Schall	B4D3C965-7A7A-4C46-BD28-6425257EBD9B	1
56	348	dieselbe	O	none	0
57	357	in	O	none	0
58	360	seiner	O	none	0
59	367	beredten	O	none	0
60	375	\n               	O	none	0
61	391	Weise	O	none	0
62	396	:	O	none	0
63	398	»	O	none	0
