Token_ID	Text_Pointer	Token	Tag	Annotation_ID	Multi_Token_Annotation
0	0	Es	O	none	0
1	3	ist	O	none	0
2	7	später	O	none	0
3	14	Abend	O	none	0
4	20	in	B-Positionierung	73161714-8F0E-4503-A9B5-BCBFBE0FF3B1	1
5	23	unserm	O	none	0
6	30	Stadtwald	B-Ort-Container	F79B1E9B-854B-4967-B864-1D4FE7394AC8	1
7	39	,	O	none	0
8	41	leise	O	none	0
9	47	wispert	B-Bewegung-Schall	4549EC71-F76B-4FD0-B86A-C6DD12934940	1
10	55	das	O	none	0
11	59	Laub	O	none	0
12	64	in	B-Positionierung	FE26E672-5348-4156-B697-2168918A602C	1
13	67	der	O	none	0
14	71	lauen	O	none	0
15	76	\n               	O	none	0
16	92	Sommerluft	B-Ort-Container	3A467D33-A58D-4032-8499-F2C92184F80C	1
17	103	und	O	none	0
18	107	aus	B-Richtung	4C517A66-267D-47B4-B8EE-9C4595AA5938	1
19	111	der	O	none	0
20	115	Ferne	B-Ort-Container-BK	15473E82-12C0-4539-AB86-648B01BA3E54	1
21	121	tönt	B-Bewegung-Schall	EEDEB29E-9B33-4255-82D5-6F705B7C5024	1
22	126	das	O	none	0
23	130	Geschwirr	O	none	0
24	140	der	O	none	0
25	144	Feldgrillen	O	none	0
26	156	bis	B-Richtung	0EBEBD00-87F1-4090-8BED-35799DFA643E	1
27	160	unter	B-Richtung	7E5F8C34-D08A-4364-A29D-D9F790D4FCA3	1
28	166	die	O	none	0
29	169	\n               	O	none	0
30	185	Bäume	O	none	0
31	190	.	O	none	0
32	191	\n	O	none	0
33	192	Durch	B-Richtung	0C558CED-B176-4881-A889-E68F59DC5526	1
34	198	die	O	none	0
35	202	Gipfel	B-Ort-Abstrakt	AA664249-1657-4F0F-B6AC-6A39259EB0C2	1
36	209	fällt	B-Bewegung-Licht	C7E5E708-CE18-4365-9CFB-CF800516A122	1
37	215	bleiches	O	none	0
38	224	Licht	O	none	0
39	230	auf	B-Richtung	BCCE315C-F94B-4E87-9FA1-76E47250B83E	1
40	234	den	O	none	0
41	238	Waldweg	B-Ort-Container-BK	1B47E5A5-F926-435E-9189-02DA6DB0681A	1
42	246	und	O	none	0
43	250	das	O	none	0
44	254	undeutliche	O	none	0
45	266	Geäst	O	none	0
46	272	des	O	none	0
47	275	\n               	O	none	0
48	291	Unterholzes	B-Ort-Container-BK	304EF753-8B8B-4FC8-AE20-9D41C82E8AB3	1
49	302	.	O	none	0
50	304	Der	O	none	0
51	308	Mond	B-Ort-Objekt-BK	9AAD305D-5F76-48F4-BCC8-203996813A0C	1
52	313	besprengt	B-Bewegung-Licht	2BDAD418-03C3-40D8-8D41-13DA8168830F	1
53	323	den	O	none	0
54	327	Pfad	B-Ort-Container-BK	329D96ED-7B7E-4732-94A6-DBE9DB0663FB	1
55	332	mit	O	none	0
56	336	schimmernden	B-Bewegung-Licht	62B7DD2F-94F3-44FE-A86D-D57038782562	1
57	349	Flecken	O	none	0
58	356	,	O	none	0
59	358	er	O	none	0
60	361	zündet	B-Bewegung-Licht	3D5405BD-F8ED-4C0D-BDFB-5451C160BB40	2
61	368	im	B-Positionierung	CD934A1E-BA77-45E8-AF6A-393A0D0C56A0	1
62	370	\n               	O	none	0
63	386	Gewirr	O	none	0
64	393	der	O	none	0
65	397	Blätter	O	none	0
66	405	und	O	none	0
67	409	Zweige	O	none	0
68	416	verlorene	B-Bewegung-ALT	0F02D094-2BD0-454D-A763-2E3BD5DD09DA	1
69	426	Lichter	O	none	0
70	434	auf	B-Bewegung-Licht	3D5405BD-F8ED-4C0D-BDFB-5451C160BB40	2
71	437	,	O	none	0
72	439	hier	B-Positionierung	BD5BB457-0616-4D42-9213-C3295FF7C008	1
73	444	läuft	B-Bewegung-Licht	6FDDA837-34C1-42BB-B3EE-C5B3CE361901	2
74	450	es	O	none	0
75	453	vom	B-Richtung	9433C0EB-F157-4EF2-8ADE-76B965157F19	1
76	457	Baumstamme	O	none	0
77	467	\n               	O	none	0
78	483	bläulich	O	none	0
79	492	herab	B-Bewegung-Licht	6FDDA837-34C1-42BB-B3EE-C5B3CE361901	2
80	498	wie	O	none	0
81	502	brennender	B-Bewegung-Licht	59F804EB-E598-40C6-B4C2-0E48EEF805E2	1
82	513	Spiritus	O	none	0
83	521	,	O	none	0
84	523	dort	B-Positionierung	0B8BB8FE-35BF-44FE-A32B-73EBD4088BFD	1
85	528	im	B-Positionierung	96270757-5030-423D-90A9-6DDEB3D9EAF7	1
86	531	Grunde	B-Ort-Container	C73EEBAF-6347-413C-B6A2-CFB66A7C4529	1
87	538	leuchten	B-Bewegung-Licht	9A4C2ADD-4605-437D-8AA1-85A9D08EA3A0	1
88	547	aus	B-Richtung	21FE9B9E-E281-486C-BFF8-88987FE7B7A1	1
89	551	tiefer	B-Dimensionierung-ALT	99E8759F-D9B6-46EC-B076-B0C145FE641A	1
90	558	Dunkelheit	O	none	0
91	568	\n               	O	none	0
92	584	die	O	none	0
93	588	Wedel	O	none	0
94	594	eines	O	none	0
95	600	Farnkrautes	O	none	0
96	612	in	O	none	0
97	615	grünlichem	O	none	0
98	626	Golde	O	none	0
99	631	,	O	none	0
100	633	und	O	none	0
101	637	über	B-Positionierung	CAEADCDF-5EBE-4D0B-96E7-CC97CEA36253	1
102	642	dem	O	none	0
103	646	Wege	B-Ort-Container	E19EC6C0-D459-4C27-A045-45657677FCCB	1
104	651	ragt	O	none	0
105	656	der	O	none	0
106	660	dürre	B-Dimensionierung-Groesse	41C9CB51-8882-4C18-9FD0-106093F7FCB7	1
107	666	Ast	O	none	0
108	669	\n               	O	none	0
109	685	als	O	none	0
110	689	ungeheures	O	none	0
111	700	weißes	O	none	0
112	707	Geweih	O	none	0
113	713	.	O	none	0
114	715	Dazwischen	B-Positionierung	EC4DB224-89CF-4F65-9D20-FD598E94D33D	1
115	726	aber	O	none	0
116	731	und	O	none	0
117	735	darunter	B-Positionierung	5A0B91FB-8E13-432C-82E7-048ED673F3B5	1
118	744	schwarze	O	none	0
119	752	,	O	none	0
120	754	greifbare	O	none	0
121	763	\n               	O	none	0
122	779	Finsterniß	O	none	0
123	789	.	O	none	0
124	791	Runder	O	none	0
125	798	Mond	B-Ort-Objekt	F3FCCE88-03B4-49FD-83B9-764037DB65DC	1
126	803	am	B-Positionierung	8B8AFD85-5D15-40B8-B3F4-7145FEB0ADAF	1
127	806	Himmel	B-Ort-Objekt	47B03ABC-BBAB-438A-9754-7D159AE4D18D	1
128	812	,	O	none	0
129	814	deine	O	none	0
130	820	Versuche	O	none	0
131	829	den	O	none	0
