,i,text,lemma,event_id,event_label,correct_event_nonevent_prediction,Tag,Annotation_ID,Multi_Token_Annotation,main_tags_in_events,main_tags_in_non_events,reference_to_diegesis
0,0,Die,der,0,stative_event,X,O,none,0,,,
1,1,Tage,Tag,0,stative_event,X,O,none,0,,,
2,2,vergingen,vergehen,0,stative_event,X,O,none,0,,,
3,3,einförmig,einförmig,0,stative_event,X,O,none,0,,,
4,4,.,.,0,stative_event,_,O,none,0,,,
5,5,Lotti,Lotti,1,stative_event,X,O,none,0,,,
6,6,führte,führen,1,stative_event,X,B-Bewegung-ALT,D5A1FCCC-9401-4E71-BA54-370952092A4E,2,,,
7,7,ihr,ihr,1,stative_event,X,O,none,0,,,
8,8,stilles,still,1,stative_event,X,O,none,0,,,
9,9,Leben,Leben,1,stative_event,X,O,none,0,,,
10,10,fort,fort,1,stative_event,X,B-Bewegung-ALT,D5A1FCCC-9401-4E71-BA54-370952092A4E,2,,,
11,11,.,.,1,stative_event,_,O,none,0,,,
12,12,Die,der,2,process,X,O,none,0,,,
13,13,einzige,einzig,2,process,X,O,none,0,,,
14,14,Veränderung,Veränderung,2,process,X,O,none,0,,,
15,15,darin,darin,2,process,X,O,none,0,,,
16,16,brachten,bringen,2,process,X,B-Bewegung-ALT,C43E6F35-1FF3-4B73-BF57-99BB2884B24E,2,,,
17,17,die,der,2,process,X,O,none,0,,,
18,18,Besuche,Besuch,2,process,X,O,none,0,,,
19,19,des,der,2,process,X,O,none,0,,,
20,20,Advokaten,Advokat,2,process,X,O,none,0,,,
21,21,Schweitzer,Schweitzer,2,process,X,O,none,0,,,
22,22,hervor,hervor,2,process,X,B-Bewegung-ALT,C43E6F35-1FF3-4B73-BF57-99BB2884B24E,2,,,
23,23,.,.,2,process,_,O,none,0,,,
24,24,Er,er,3,process,X,O,none,0,,,
25,25,kam,kommen,3,process,X,B-Bewegung-Subjekt,70B48352-261E-4956-95EF-970DEF82A09D,1,X,,X
26,26,sehr,sehr,3,process,X,O,none,0,,,
27,27,oft,oft,3,process,X,O,none,0,,,
28,28,",",",",_,_,_,O,none,0,,,
29,29,zu,zu,3,process,X,O,none,0,,,
30,30,Gottfrieds,Gottfried,3,process,X,O,none,0,,,
31,31,großer,groß,3,process,X,B-Dimensionierung-ALT,B8A1603A-58CA-4E92-9D16-92499CA6460A,1,,,
32,32,Befriedigung,Befriedigung,3,process,X,O,none,0,,,
33,33,.,.,_,_,_,O,none,0,,,
34,34,Dieser,dieser,4,change_of_state,X,O,none,0,,,
35,35,hatte,haben,4,change_of_state,X,O,none,0,,,
36,36,für,für,4,change_of_state,X,O,none,0,,,
37,37,ihn,ihn,4,change_of_state,X,O,none,0,,,
38,38,eine,ein,4,change_of_state,X,O,none,0,,,
39,39,Liebe,Liebe,4,change_of_state,X,O,none,0,,,
40,40,gefaßt,fassen,4,change_of_state,X,B-Bewegung-ALT,273B911E-11CF-41B8-814D-2554649D1735,1,,,
41,41,",",",",_,_,_,O,none,0,,,
42,42,kaum,kaum,4,change_of_state,X,O,none,0,,,
43,43,minder,minder,4,change_of_state,X,O,none,0,,,
44,44,plötzlich,plötzlich,4,change_of_state,X,O,none,0,,,
45,45,wie,wie,4,change_of_state,X,O,none,0,,,
46,46,die,der,4,change_of_state,X,O,none,0,,,
47,47,Romeos,Romeo,4,change_of_state,X,O,none,0,,,
48,48,zu,zu,4,change_of_state,X,O,none,0,,,
49,49,Julien,Julie,4,change_of_state,X,O,none,0,,,
50,50,",",",",_,_,_,O,none,0,,,
51,51,und,und,5,process,X,O,none,0,,,
52,52,äußerte,äußern,5,process,X,B-Bewegung-Schall,B4D3C965-7A7A-4C46-BD28-6425257EBD9B,1,X,,X
53,53,dieselbe,derselbe,_,_, ,O,none,0,,,
54,54,in,in,_,_, ,O,none,0,,,
55,55,seiner,sein,_,_, ,O,none,0,,,
56,56,beredten,beredt,_,_, ,O,none,0,,,
57,57,Weise,Weise,_,_, ,O,none,0,,,
58,58,:,:,_,_,_,O,none,0,,,
59,59,»,»,_,_,_,O,none,0,,,
60,60,Der,der,_,_, ,O,none,0,,,
61,61,ja,ja,_,_, ,O,none,0,,,
62,62,!,!,_,_,_,O,none,0,,,
63,63,–,–,_,_,_,O,none,0,,,
64,64,ja,ja,_,_, ,O,none,0,,,
65,65,der,der,_,_, ,O,none,0,,,
66,66,–,-,_,_,_,O,none,0,,,
67,67,das,der,6,stative_event, ,O,none,0,,,
68,68,ist,sein,6,stative_event, ,O,none,0,,,
69,69,einer,einer,6,stative_event, ,O,none,0,,,
70,70,!,!,_,_,_,O,none,0,,,
71,71,«,«,_,_,_,O,none,0,,,
72,72,Der,der,7,process,X,O,none,0,,,
73,73,Doktor,Doktor,7,process,X,O,none,0,,,
74,74,brachte,bringen,7,process,X,B-Bewegung-Subjekt,B12608F0-033D-449A-A919-AF108461DA6F,1,X,,X
75,75,Nachrichten,Nachricht,7,process,X,O,none,0,,,
76,76,von,von,7,process,X,O,none,0,,,
77,77,Halwigs,Halwigs,7,process,X,O,none,0,,,
78,78,.,.,7,process,_,O,none,0,,,
79,79,Das,der,8,stative_event,X,O,none,0,,,
80,80,junge,jung,8,stative_event,X,O,none,0,,,
81,81,Paar,Paar,8,stative_event,X,O,none,0,,,
82,82,befand,befinden,8,stative_event,X,O,none,0,,,
83,83,sich,sich,8,stative_event,X,O,none,0,,,
84,84,auf,auf,8,stative_event,X,B-Positionierung,C3BEE007-19D6-422B-A0B8-284DA5CAFD8F,1,X,,X
85,85,dem,der,8,stative_event,X,O,none,0,,,
86,86,Gute,Gut,8,stative_event,X,B-Ort-Container,178D6CF2-FB9C-4C88-98DF-9476459F7940,1,X,,X
87,87,;,;,8,stative_event,_,O,none,0,,,
88,88,die,der,9,process,X,O,none,0,,,
89,89,Schwiegereltern,Schwiegerelter,9,process,X,O,none,0,,,
90,90,waren,sein,9,process,X,O,none,0,,,
91,91,nach,nach,9,process,X,B-Richtung,BF00AECD-14A5-4615-9477-50848E1980F9,1,X,,X
92,92,England,England,9,process,X,B-Ort-Container-BK,73CDB1E3-9D20-452B-A105-2F7E3D351AC5,1,X,,X
93,93,abgesegelt,absegeln,9,process,X,B-Bewegung-Subjekt,D8DB6CB2-DDFD-4BDE-A1EE-2DD37989A9EA,1,X,,X
94,94,.,.,_,_,_,O,none,0,,,
95,95,Schweitzer,Schweitzer,10,process,X,O,none,0,,,
96,96,beschäftigte,beschäftigen,10,process,X,O,none,0,,,
97,97,sich,sich,10,process,X,O,none,0,,,
98,98,mit,mit,10,process,X,O,none,0,,,
99,99,dem,der,10,process,X,O,none,0,,,
100,100,Ordnen,Ordne,10,process,X,O,none,0,,,
101,101,ihrer,ihr,10,process,X,O,none,0,,,
102,102,Angelegenheiten,Angelegenheit,10,process,X,O,none,0,,,
103,103,.,.,10,process,_,O,none,0,,,
104,104,Sobald,sobald,11,stative_event,,O,none,0,,,
105,105,er,er,11,stative_event,,O,none,0,,,
106,106,damit,damit,11,stative_event,,O,none,0,,,
107,107,fertiggeworden,fertigwerden,11,stative_event,,O,none,0,,,
108,108,",",",",_,_,_,O,none,0,,,
109,109,wollte,wollen,11,stative_event, ,O,none,0,,,
110,110,er,er,11,stative_event, ,O,none,0,,,
111,111,eine,ein,11,stative_event, ,O,none,0,,,
112,112,Reise,Reise,11,stative_event, ,O,none,0,,,
113,113,nach,nach,11,stative_event, ,B-Richtung,CD35FEB1-9FAB-4A38-83B2-83917C503A5B,1,,X,
114,114,dem,der,11,stative_event, ,O,none,0,,,
115,115,Norden,Norden,11,stative_event, ,B-Ort-Container-BK,A05934D1-EBDC-4DBA-A036-D3CB847DA9D6,1,,X,X
116,116,unternehmen,unternehmen,11,stative_event, ,B-Bewegung-Subjekt,E43BD3AC-47C3-4CEA-8B28-82B5D9947622,1,,X,
117,117,",",",",_,_,_,O,none,0,,,
118,118,die,der,11,stative_event, ,O,none,0,,,
119,119,heißen,heißen,11,stative_event, ,O,none,0,,,
120,120,Sommermonate,Sommermonat,11,stative_event, ,O,none,0,,,
121,121,in,in,11,stative_event, ,B-Positionierung,3C9A13BA-E707-45EB-BDD5-DD9CBC98630E,1,,X,
122,122,Norwegen,Norwegen,11,stative_event, ,B-Ort-Container,990408D9-17E1-4BF1-B4AE-5BF9C311D0EC,1,,X,X
123,123,oder,oder,11,stative_event, ,O,none,0,,,
124,124,gar,gar,11,stative_event, ,O,none,0,,,
125,125,in,in,11,stative_event, ,B-Positionierung,B851F75C-7F17-4A5E-A502-53046F77497C,1,,X,
126,126,Island,Island,11,stative_event, ,B-Ort-Container,437CEA0F-5A6F-4107-93B5-70EC99243611,1,,X,X
127,127,zubringen,zubringen,11,stative_event, ,B-Bewegung-ALT,AC57F628-3461-494D-8D24-140979530CA1,1,,X,
128,128,.,.,_,_,_,O,none,0,,,
129,129,Er,er,12,process,X,O,none,0,,,
130,130,sagte,sagen,12,process,X,B-Bewegung-Schall,45503BED-40C5-488C-AA88-F87B2253C31A,1,X,,X
131,131,",",",",_,_,_,O,none,0,,,
132,132,seine,sein,12,process, ,O,none,0,,,
133,133,Nerven,Nerv,12,process, ,O,none,0,,,
134,134,bedürften,bedürfen,12,process, ,O,none,0,,,
135,135,der,der,12,process, ,O,none,0,,,
136,136,Stärkung,Stärkung,12,process, ,O,none,0,,,
137,137,.,.,_,_,_,O,none,0,,,
138,138,»,»,_,_,_,O,none,0,,,
139,139,Ich,ich,13,stative_event,X,O,none,0,,,
140,140,bin,sein,13,stative_event,X,O,none,0,,,
141,141,nervenkrank,nervenkrank,13,stative_event,X,O,none,0,,,
142,142,wie,wie,13,stative_event,X,O,none,0,,,
143,143,alle,aller,13,stative_event,X,B-Dimensionierung-Menge,C53C4ECD-139C-4D44-9F7B-E896BA2EFA8F,1,X,,X
144,144,Leute,Leute,13,stative_event,X,O,none,0,,,
145,145,:,:,_,_,_,O,none,0,,,
146,146,Sie,sie,_,_, ,O,none,0,,,
147,147,allein,allein,_,_, ,O,none,0,,,
148,148,ausgenommen,ausnehmen,_,_, ,O,none,0,,,
149,149,und,und,_,_, ,O,none,0,,,
150,150,Gottfried,Gottfried,_,_, ,O,none,0,,,
151,151,",",",",_,_,_,O,none,0,,,
152,152,und,und,_,_, ,O,none,0,,,
153,153,vielleicht,vielleicht,_,_, ,O,none,0,,,
154,154,Ihre,ihr,_,_, ,O,none,0,,,
155,155,alte,alt,_,_, ,O,none,0,,,
156,156,Agnes,Agnes,_,_, ,O,none,0,,,
157,157,.,.,_,_,_,O,none,0,,,
158,158,«,-,_,_,_,O,none,0,,,
159,159,»,»,_,_,_,O,none,0,,,
160,160,Nun,nun,_,_, ,O,none,0,,,
161,161,",",",",_,_,_,O,none,0,,,
162,162,ich,ich,14,non_event,X,O,none,0,,,
163,163,weiß,wissen,14,non_event,X,O,none,0,,,
164,164,nicht,nicht,14,non_event,X,O,none,0,,,
165,165,«,«,_,_,_,O,none,0,,,
166,166,",",",",_,_,_,O,none,0,,,
167,167,meinte,meinen,15,process,X,B-Bewegung-Schall,57FE654D-BB1A-434B-9E50-3706C1C8D760,1,X,,X
168,168,Lotti,Lotti,15,process,X,O,none,0,,,
169,169,und,und,16,process,X,O,none,0,,,
170,170,ließ,lassen,16,process,X,O,none,0,,,
171,171,ihre,ihr,16,process,X,O,none,0,,,
172,172,Augen,Auge,16,process,X,O,none,0,,,
173,173,von,von,16,process,X,B-Richtung,A64EFAC7-8AC6-4972-900A-EC5324774DB0,1,X,,X
174,174,ihm,ihm,16,process,X,O,none,0,,,
175,175,auf,auf,16,process,X,B-Richtung,37B63E8B-6AD6-48C3-AAF6-0E234BC8D9FC,1,X,,X
176,176,Gottfried,Gottfried,16,process,X,O,none,0,,,
177,177,hinübergleiten,hinübergleiten,17,process,X,B-Bewegung-Licht,16A2E9BE-1809-4C21-BFE3-6EAA9EB94401,1,X,,X
178,178,.,.,_,_,_,O,none,0,,,
179,179,Mit,mit,19,non_event,X,O,none,0,,,
180,180,dessen,der,19,non_event,X,O,none,0,,,
181,181,Nerven,Nerv,19,non_event,X,O,none,0,,,
182,182,",",",",_,_,_,O,none,0,,,
183,183,dachte,denken,18,process,X,O,none,0,,,
184,184,sie,sie,18,process,X,O,none,0,,,
185,185,",",",",_,_,_,O,none,0,,,
186,186,stände,stehen,19,non_event,X,O,none,0,,,
187,187,es,es,19,non_event,X,O,none,0,,,
188,188,auch,auch,19,non_event,X,O,none,0,,,
189,189,nicht,nicht,19,non_event,X,O,none,0,,,
190,190,zum,zu,_,_, ,O,none,0,,,
191,191,besten,gut,_,_, ,O,none,0,,,
192,192,.,.,_,_,_,O,none,0,,,
193,193,Er,er,20,stative_event,X,O,none,0,,,
194,194,war,sein,20,stative_event,X,O,none,0,,,
195,195,so,so,20,stative_event,X,O,none,0,,,
196,196,eigen,eigen,20,stative_event,X,O,none,0,,,
197,197,",",",",_,_,_,O,none,0,,,
198,198,schien,scheinen,20,stative_event, ,B-Bewegung-ALT,DC9EF9AD-AA14-4B23-B7AD-ADDCAF10B8C1,1,,,
199,199,oft,oft,20,stative_event, ,O,none,0,,,
200,200,selbst,selbst,20,stative_event, ,O,none,0,,,
201,201,nicht,nicht,20,stative_event, ,O,none,0,,,
202,202,zu,zu,20,stative_event, ,O,none,0,,,
203,203,wissen,wissen,20,stative_event, ,O,none,0,,,
204,204,",",",",_,_,_,O,none,0,,,
205,205,was,was,20,stative_event, ,O,none,0,,,
206,206,er,er,20,stative_event, ,O,none,0,,,
207,207,wollte,wollen,20,stative_event, ,O,none,0,,,
208,208,.,.,_,_,_,O,none,0,,,
209,209,Mehrmals,mehrmals,21,process,X,O,none,0,,,
210,210,schon,schon,21,process,X,O,none,0,,,
211,211,hatte,haben,21,process,X,O,none,0,,,
212,212,ihm,ihm,21,process,X,O,none,0,,,
213,213,Lotti,Lotti,21,process,X,O,none,0,,,
214,214,Briefe,Brief,21,process,X,O,none,0,,,
215,215,von,von,21,process,X,O,none,0,,,
216,216,Halwig,Halwig,21,process,X,O,none,0,,,
217,217,und,und,21,process,X,O,none,0,,,
218,218,Agathe,Agathe,21,process,X,O,none,0,,,
219,219,vorgelegt,vorlegen,21,process,X,B-Bewegung-Subjekt,455FA4FE-40ED-406B-A8E0-C76DD2CA8DB8,1,X,,X
220,220,",",",",_,_,_,O,none,0,,,
221,221,in,in,21,process,X,O,none,0,,,
222,222,welchen,welcher,21,process,X,O,none,0,,,
223,223,Fräulein,Fräulein,21,process,X,O,none,0,,,
224,224,Feßler,Feßler,21,process,X,O,none,0,,,
225,225,beschworen,beschwören,21,process,X,O,none,0,,,
226,226,wurde,werden,21,process,X,O,none,0,,,
227,227,",",",",_,_,_,O,none,0,,,
228,228,zu,zu,_,_, ,B-Richtung,406B7B85-A2C2-4DE3-99BD-2C1D7ECED3E6,1,,X,
229,229,ihnen,ihnen,_,_, ,O,none,0,,,
230,230,zu,zu,_,_, ,O,none,0,,,
231,231,kommen,kommen,_,_, ,B-Bewegung-Subjekt,FE0C462D-C32E-4B43-A9DB-A3901E923590,1,,X,
232,232,und,und,_,_, ,O,none,0,,,
233,233,einige,einiger,_,_, ,O,none,0,,,
234,234,Tage,Tag,_,_, ,O,none,0,,,
235,235,bei,bei,_,_, ,B-Positionierung,80BA0ED6-8E1F-4FB4-B8F1-BE5A81A68F39,1,,X,
236,236,ihnen,ihnen,_,_, ,O,none,0,,,
237,237,zuzubringen,zubringen,_,_, ,B-Bewegung-ALT,B0220FCF-1F6C-4667-9849-9CC1A504A591,1,,,
238,238,.,.,_,_,_,O,none,0,,,
239,239,Gottfried,Gottfried,22,non_event, ,O,none,0,,,
240,240,hatte,haben,22,non_event, ,O,none,0,,,
241,241,nie,nie,22,non_event, ,O,none,0,,,
242,242,etwas,etwas,22,non_event, ,O,none,0,,,
243,243,anderes,anderer,22,non_event, ,O,none,0,,,
244,244,dazu,dazu,22,non_event, ,O,none,0,,,
245,245,gesagt,sagen,22,non_event, ,B-Bewegung-Schall,87BBA886-EE2C-439E-82C8-B8F753E31528,1,X,,X
246,246,als,als,_,_, ,O,none,0,,,
247,247,:,:,_,_,_,O,none,0,,,
248,248,»,-,_,_,_,O,none,0,,,
249,249,Ja,ja,_,_, ,O,none,0,,,
250,250,",",",",_,_,_,O,none,0,,,
251,251,sie,sie,23,stative_event,X,O,none,0,,,
252,252,sind,sein,23,stative_event,X,O,none,0,,,
253,253,sehr,sehr,23,stative_event,X,O,none,0,,,
254,254,höflich,höflich,23,stative_event,X,O,none,0,,,
255,255,«,«,_,_,_,O,none,0,,,
256,256,",",",",_,_,_,O,none,0,,,
257,257,und,und,_,_, ,O,none,0,,,
258,258,:,:,_,_,_,O,none,0,,,
259,259,»,»,_,_,_,O,none,0,,,
260,260,Wann,wann,24,non_event,X,O,none,0,,,
261,261,gehst,gehen,24,non_event,X,B-Bewegung-Subjekt,83A7EBD5-3F6E-4965-BC4A-2C656C9926E5,1,,X,
262,262,du,du,24,non_event,X,O,none,0,,,
263,263,?,?,_,_,_,O,none,0,,,
264,264,«,-,_,_,_,O,none,0,,,
265,265,Aber,aber,25,process,X,O,none,0,,,
266,266,dies,dieser,25,process,X,O,none,0,,,
267,267,geschah,geschehen,25,process,X,O,none,0,,,
268,268,",",",",_,_,_,O,none,0,,,
269,269,in,in,25,process,X,O,none,0,,,
270,270,so,so,25,process,X,O,none,0,,,
271,271,gepreßtem,gepreßt,25,process,X,B-Bewegung-ALT,A1402D79-7653-4D54-B3C9-A993F64454B4,1,,,
272,272,Tone,Ton,25,process,X,O,none,0,,,
273,273,",",",",_,_,_,O,none,0,,,
274,274,daß,daß,_,_, ,O,none,0,,,
275,275,Lotti,Lotti,_,_, ,O,none,0,,,
276,276,immer,immer,_,_, ,O,none,0,,,
277,277,wieder,wieder,_,_, ,O,none,0,,,
278,278,statt,statt,_,_, ,O,none,0,,,
279,279,:,:,_,_,_,O,none,0,,,
280,280,»,»,_,_,_,O,none,0,,,
281,281,Morgen,Morgen,_,_, ,O,none,0,,,
282,282,«,«,_,_,_,O,none,0,,,
283,283,",",",",_,_,_,O,none,0,,,
284,284,wie,wie,_,_, ,O,none,0,,,
285,285,sie,sie,_,_, ,O,none,0,,,
